2026-07-18 23:08:57,870 | 127.0.0.1 | GET | /api/v1/documents | 404 | 13.98 ms
2026-07-18 23:09:39,777 | 127.0.0.1 | GET | /api/v1/documents | 404 | 1.41 ms
2026-07-18 23:09:41,585 | 127.0.0.1 | POST | /api/v1/upload | 404 | 1.64 ms
2026-07-18 23:09:41,593 | 127.0.0.1 | GET | /api/v1/documents | 404 | 1.81 ms
2026-07-18 23:11:31,176 | 127.0.0.1 | GET | /api/v1/documents | 200 | 20.30 ms
2026-07-18 23:11:35,032 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.65 ms
2026-07-18 23:11:38,493 | 127.0.0.1 | GET | /api/v1/documents | 200 | 6.06 ms
2026-07-18 23:11:45,802 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.24 ms
2026-07-18 23:11:55,189 | 127.0.0.1 | GET | /api/v1/documents | 200 | 5.15 ms
2026-07-18 23:11:55,215 | 127.0.0.1 | GET | /api/v1/history | 200 | 11.94 ms
2026-07-18 23:28:08,892 | 127.0.0.1 | GET | /api/v1/documents | 200 | 26.18 ms
2026-07-18 23:28:08,914 | 127.0.0.1 | GET | /api/v1/history | 200 | 11.18 ms
2026-07-18 23:28:15,770 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.72 ms
2026-07-18 23:28:15,792 | 127.0.0.1 | GET | /api/v1/history | 200 | 14.50 ms
2026-07-18 23:28:17,855 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.06 ms
2026-07-18 23:31:50,313 | 127.0.0.1 | GET | /api/v1/documents | 200 | 19.78 ms
2026-07-18 23:31:50,330 | 127.0.0.1 | GET | /api/v1/history | 200 | 10.26 ms
2026-07-18 23:31:53,973 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.56 ms
2026-07-18 23:31:53,995 | 127.0.0.1 | GET | /api/v1/history | 200 | 12.39 ms
2026-07-18 23:31:56,724 | 127.0.0.1 | GET | /api/v1/documents | 200 | 2.90 ms
2026-07-18 23:36:49,454 | 127.0.0.1 | GET | /api/v1/documents | 200 | 28.69 ms
2026-07-18 23:36:49,487 | 127.0.0.1 | GET | /api/v1/history | 200 | 18.45 ms
2026-07-18 23:36:54,023 | 127.0.0.1 | GET | /api/v1/documents | 200 | 9.94 ms
2026-07-18 23:36:54,044 | 127.0.0.1 | GET | /api/v1/history | 200 | 11.66 ms
2026-07-18 23:37:02,716 | 127.0.0.1 | GET | /api/v1/documents | 200 | 3.54 ms
2026-07-18 23:37:02,808 | 127.0.0.1 | DELETE | /api/v1/documents/2ef0b6da-754f-48c7-b7d5-e8f1f880bff2 | 200 | 85.68 ms
2026-07-18 23:37:02,841 | 127.0.0.1 | GET | /api/v1/documents | 200 | 2.91 ms
2026-07-18 23:37:02,850 | 127.0.0.1 | GET | /api/v1/history | 200 | 3.87 ms
2026-07-18 23:37:16,195 | 127.0.0.1 | GET | /api/v1/documents | 200 | 5.50 ms
2026-07-18 23:37:26,240 | 127.0.0.1 | GET | /api/v1/documents | 200 | 2.95 ms
